Drift,LossThresh_0.4(2),LossThresh_0.5,LossThresh_0.4,LossThresh_0.35,LossThresh_0.3,LossThresh_0.25,LossThresh_0.2,LossThresh_0.4(2).1,LossThresh_0.38
0.0,0,0,0,0,0,0,0,0,0
,1,1,1,1,1,1,1,1,1
,1,0,1,1,1,1,1,1,1
,1,0,1,1,1,1,1,1,1
,0,0,0,0,0,0,1,0,0
,1,0,1,1,1,1,1,1,1
,0,0,0,0,0,1,1,0,0
,0,0,0,1,1,1,1,0,0
,1,1,1,1,1,1,1,1,1
,0,0,0,1,1,1,1,0,0
,1,0,1,0,0,1,1,1,1
,0,0,0,1,1,1,1,0,0
,0,0,0,0,0,0,0,0,0
,1,0,1,1,1,1,1,1,1
,0,0,0,0,1,1,0,0,0
,1,0,1,0,1,1,1,1,1
,1,0,1,1,1,0,1,1,1
,1,0,1,0,0,0,1,1,1
,0,0,0,0,1,0,1,0,0
,0,0,0,1,1,0,1,0,0
,0,0,0,0,0,0,0,0,0
,1,0,1,0,0,0,0,1,1
,1,1,1,1,1,1,1,1,1
,0,0,0,0,0,1,1,0,0
,0,0,0,0,0,1,0,0,0
,0,0,0,0,1,1,0,0,0
,0,1,0,0,1,0,0,0,0
,0,1,0,0,0,1,0,0,0
,1,0,1,1,1,1,1,1,1
,0,0,0,0,0,0,1,0,0
,1,0,1,1,1,1,0,1,1
,0,0,0,0,0,1,0,0,0
,0,0,0,0,0,0,1,0,0
,0,1,0,0,0,0,0,0,1
,0,0,0,0,0,0,0,0,0
,1,1,1,0,1,1,0,1,1
,1,0,1,0,1,1,1,1,1
,1,0,1,1,1,0,1,1,1
,1,0,1,0,1,0,0,1,0
,0,0,0,0,0,0,1,0,0
,0,0,0,0,1,1,0,0,0
,0,1,0,0,0,1,0,0,0
,0,0,0,0,0,1,1,0,0
,1,0,1,0,0,0,1,1,0
,0,0,0,0,1,0,1,0,1
,0,0,0,0,1,1,1,0,0
,0,0,0,0,0,0,0,0,0
,1,0,1,1,0,1,1,1,1
,1,0,1,1,1,1,0,1,0
